DayofMonth str,DayOfWeek str,FlightDate int,UniqueCarrier str,AirlineID int,Carrier str,TailNum str,FlightNum int,OriginAirportID int,OriginAirportSeqID int,OriginCityMarketID int,Origin str,OriginCityName str,OriginState str,OriginStateFips int,OriginStateName str,OriginWac int
11,2,20121211,OO,20304,OO,N417SW,2682,11638,1163804,31638,FAT,FresnoCA,CA,6,California,91
14,5,20121214,MQ,20398,MQ,N820MQ,3394,10781,1078102,30781,BTR,BatonRougeLA,LA,22,Louisiana,72
2,7,20121202,OO,20304,OO,N797SK,5502,11292,1129202,30325,DEN,DenverCO,CO,8,Colorado,82
10,1,20121210,WN,19393,WN,N235WN,852,10423,1042302,30423,AUS,AustinTX,TX,48,Texas,74
22,6,20121222,EV,20366,EV,N717EV,4890,10529,1052904,30529,BDL,HartfordCT,CT,9,Connecticut,11
21,5,20121221,OO,20304,OO,N568SW,6338,14679,1467903,33570,SAN,SanDiegoCA,CA,6,California,91
7,5,20121207,YV,20378,YV,N927LR,2806,14107,1410702,30466,PHX,PhoenixAZ,AZ,4,Arizona,81
13,4,20121213,US,20355,US,N103US,1081,11057,1105703,31057,CLT,CharlotteNC,NC,37,NorthCarolina,36
12,3,20121212,EV,20366,EV,N855AS,5028,12945,1294503,32945,LEX,LexingtonKY,KY,21,Kentucky,52
28,5,20121228,EV,20366,EV,N830AS,5738,10257,1025702,30257,ALB,AlbanyNY,NY,36,NewYork,22
27,4,20121227,AA,19805,AA,N3HKAA,1821,13303,1330303,32467,MIA,MiamiFL,FL,12,Florida,33
29,6,20121229,MQ,20398,MQ,N687MQ,3346,14842,1484202,34842,SJT,SanAngeloTX,TX,48,Texas,74
26,3,20121226,DL,19790,DL,N327NB,1573,12953,1295302,31703,LGA,NewYorkNY,NY,36,NewYork,22
10,1,20121210,WN,19393,WN,N754SW,2249,15376,1537602,30436,TUS,TucsonAZ,AZ,4,Arizona,81
25,2,20121225,AA,19805,AA,N4YEAA,510,14107,1410702,30466,PHX,PhoenixAZ,AZ,4,Arizona,81
22,6,20121222,WN,19393,WN,N207WN,4352,14679,1467903,33570,SAN,SanDiegoCA,CA,6,California,91
19,3,20121219,EV,20366,EV,N15926,4667,12278,1227802,30928,ICT,WichitaKS,KS,20,Kansas,62
14,5,20121214,FL,20437,FL,N285AT,42,10397,1039705,30397,ATL,AtlantaGA,GA,13,Georgia,34
6,4,20121206,OO,20304,OO,N479CA,6368,11292,1129202,30325,DEN,DenverCO,CO,8,Colorado,82
31,1,20121231,OO,20304,OO,N576SW,5315,11292,1129202,30325,DEN,DenverCO,CO,8,Colorado,82
