DayofMonth str,DayOfWeek str,FlightDate int,UniqueCarrier str,AirlineID int,Carrier str,TailNum str,FlightNum int,OriginAirportID int,OriginAirportSeqID int,OriginCityMarketID int,Origin str,OriginCityName str,OriginState str,OriginStateFips int,OriginStateName str,OriginWac int
9.0,7.0,2.0121208E7,HA,19690.0,HA,N490HA,319.0,13830.0,1383002.0,33830.0,OGG,KahuluiHI,HI,15.0,Hawaii,2.0
6.0,4.0,2.0121206E7,B6,20409.0,B6,N247JB,33.0,10785.0,1078502.0,30785.0,BTV,BurlingtonVT,VT,50.0,Vermont,16.0
26.0,3.0,2.0121226E7,EV,20366.0,EV,N14204,3260.0,12264.0,1226402.0,30852.0,IAD,WashingtonDC,VA,51.0,Virginia,38.0
30.0,7.0,2.012123E7,US,20355.0,US,N172US,,11057.0,1105703.0,31057.0,CLT,CharlotteNC,NC,37.0,NorthCarolina,36.0
19.0,3.0,2.012122E7,FL,20437.0,FL,N926AT,639.0,12339.0,1233904.0,32337.0,IND,IndianapolisIN,IN,18.0,Indiana,42.0
20.0,4.0,2.012122E7,DL,19790.0,DL,N324US,1558.0,15304.0,1530402.0,33195.0,TPA,TampaFL,FL,12.0,Florida,33.0
22.0,6.0,2.0121222E7,AA,19805.0,AA,N3AMAA,674.0,14679.0,1467903.0,33570.0,SAN,SanDiegoCA,CA,6.0,California,91.0
,7.0,,DL,19790.0,DL,N603DL,1572.0,10397.0,1039705.0,30397.0,ATL,AtlantaGA,GA,13.0,Georgia,34.0
29.0,6.0,2.0121228E7,OO,20304.0,OO,N437SW,4475.0,13487.0,1348702.0,31650.0,MSP,MinneapolisMN,MN,27.0,Minnesota,63.0
2.0,7.0,2.0121202E7,EV,20366.0,EV,N838AS,5202.0,10397.0,1039705.0,30397.0,ATL,AtlantaGA,GA,13.0,Georgia,34.0
8.0,6.0,2.0121208E7,OO,20304.0,OO,N498CA,2954.0,14262.0,1426202.0,34262.0,PSP,PalmSpringsCA,CA,6.0,California,91.0
9.0,7.0,2.0121208E7,MQ,20398.0,MQ,N542MQ,4661.0,12953.0,1295302.0,31703.0,LGA,NewYorkNY,NY,36.0,NewYork,22.0
30.0,7.0,2.012123E7,EV,20366.0,EV,N600QX,4873.0,11433.0,1143302.0,31295.0,DTW,DetroitMI,MI,26.0,Michigan,43.0
13.0,4.0,2.0121212E7,EV,20366.0,EV,N859AS,4978.0,11193.0,1119302.0,33105.0,CVG,CincinnatiOH,KY,21.0,Kentucky,52.0
20.0,4.0,2.012122E7,DL,19790.0,DL,N655DL,1855.0,10397.0,1039705.0,30397.0,ATL,AtlantaGA,GA,13.0,Georgia,34.0
11.0,2.0,2.0121212E7,OO,20304.0,OO,,6404.0,14771.0,1477101.0,32457.0,SFO,SanFranciscoCA,CA,6.0,California,91.0
11.0,2.0,2.0121212E7,AA,19805.0,AA,N478AA,1389.0,13244.0,1324402.0,33244.0,MEM,MemphisTN,TN,47.0,Tennessee,54.0
11.0,2.0,2.0121212E7,EV,20366.0,EV,N34110,4285.0,12278.0,1227802.0,30928.0,ICT,WichitaKS,KS,20.0,Kansas,62.0
11.0,2.0,2.0121212E7,MQ,20398.0,MQ,N723MQ,4478.0,12953.0,1295302.0,31703.0,LGA,NewYorkNY,NY,36.0,NewYork,22.0
16.0,7.0,2.0121216E7,AA,19805.0,AA,,2253.0,12953.0,1295302.0,31703.0,LGA,NewYorkNY,NY,36.0,NewYork,22.0
5.0,3.0,2.0121204E7,UA,19977.0,UA,N28457,,14100.0,1410002.0,34100.0,PHL,PhiladelphiaPA,PA,42.0,Pennsylvania,23.0
28.0,5.0,2.0121228E7,WN,19393.0,WN,N384SW,3451.0,11292.0,1129202.0,30325.0,DEN,DenverCO,CO,8.0,Colorado,82.0
20.0,4.0,2.012122E7,EV,20366.0,EV,,4212.0,11042.0,1104202.0,30647.0,CLE,ClevelandOH,OH,39.0,Ohio,44.0
15.0,6.0,2.0121216E7,UA,19977.0,UA,N563UA,715.0,13204.0,1320402.0,31454.0,MCO,OrlandoFL,FL,12.0,Florida,33.0
9.0,7.0,2.0121208E7,US,20355.0,US,N708UW,1435.0,11057.0,1105703.0,31057.0,CLT,CharlotteNC,NC,37.0,NorthCarolina,36.0
24.0,1.0,2.0121224E7,AA,19805.0,AA,N484AA,510.0,14107.0,1410702.0,30466.0,PHX,PhoenixAZ,AZ,4.0,Arizona,81.0
9.0,7.0,2.0121208E7,DL,19790.0,DL,N3751B,161.0,12478.0,1247802.0,31703.0,JFK,NewYorkNY,NY,36.0,NewYork,22.0
22.0,6.0,2.0121222E7,WN,19393.0,WN,N642WN,4181.0,15016.0,1501603.0,31123.0,STL,St.LouisMO,MO,29.0,Missouri,64.0
14.0,5.0,2.0121214E7,US,20355.0,US,N117UW,1731.0,14100.0,1410002.0,34100.0,PHL,PhiladelphiaPA,PA,42.0,Pennsylvania,23.0
3.0,1.0,2.0121204E7,EV,20366.0,EV,N678CA,5196.0,11433.0,1143302.0,31295.0,DTW,DetroitMI,MI,26.0,Michigan,43.0
31.0,1.0,2.0121232E7,EV,20366.0,EV,N871AS,5076.0,11481.0,1148102.0,31481.0,ECP,PanamaCityFL,FL,12.0,Florida,33.0
30.0,7.0,2.012123E7,DL,19790.0,DL,N924DN,1544.0,14747.0,1474703.0,30559.0,SEA,SeattleWA,WA,53.0,Washington,93.0
26.0,3.0,2.0121226E7,WN,19393.0,WN,N618WN,4197.0,12892.0,1289203.0,32575.0,LAX,LosAngelesCA,CA,6.0,California,91.0
16.0,7.0,2.0121216E7,FL,20437.0,FL,N717JL,,13204.0,1320402.0,31454.0,MCO,OrlandoFL,FL,12.0,Florida,33.0
29.0,6.0,2.0121228E7,EV,20366.0,EV,N28529,4460.0,12266.0,1226603.0,31453.0,IAH,HoustonTX,TX,48.0,Texas,74.0
5.0,3.0,2.0121204E7,AA,19805.0,AA,N366AA,145.0,12478.0,1247802.0,31703.0,JFK,NewYorkNY,NY,36.0,NewYork,22.0
15.0,6.0,2.0121216E7,WN,19393.0,WN,N228WN,1487.0,12889.0,1288903.0,32211.0,LAS,LasVegasNV,NV,32.0,Nevada,85.0
23.0,7.0,2.0121224E7,AA,19805.0,AA,N4XXAA,1203.0,11298.0,1129803.0,30194.0,DFW,Dallas/FortWorthTX,TX,48.0,Texas,74.0
20.0,4.0,2.012122E7,MQ,20398.0,MQ,N698MQ,2854.0,10155.0,1015502.0,30155.0,ACT,WacoTX,TX,48.0,Texas,74.0
3.0,1.0,2.0121204E7,YV,20378.0,YV,N909FJ,2824.0,14107.0,1410702.0,30466.0,PHX,PhoenixAZ,AZ,4.0,Arizona,81.0
8.0,6.0,2.0121208E7,UA,19977.0,UA,,109.0,12892.0,1289203.0,32575.0,LAX,LosAngelesCA,CA,6.0,California,91.0
19.0,3.0,2.012122E7,US,20355.0,US,N830AW,287.0,13198.0,1319801.0,33198.0,MCI,KansasCityMO,MO,29.0,Missouri,64.0
6.0,4.0,2.0121206E7,AA,19805.0,AA,N3GSAA,1978.0,14771.0,1477101.0,32457.0,SFO,SanFranciscoCA,CA,6.0,California,91.0
18.0,2.0,2.0121218E7,VX,21171.0,VX,N527VA,925.0,12892.0,1289203.0,32575.0,LAX,LosAngelesCA,CA,6.0,California,91.0
21.0,5.0,2.012122E7,UA,19977.0,UA,,635.0,13930.0,1393002.0,30977.0,ORD,ChicagoIL,IL,17.0,Illinois,41.0
2.0,7.0,2.0121202E7,AA,19805.0,AA,N387AA,287.0,13303.0,1330303.0,32467.0,MIA,MiamiFL,FL,12.0,Florida,33.0
25.0,2.0,2.0121224E7,DL,19790.0,DL,N914DE,971.0,10868.0,1086803.0,30868.0,CAE,ColumbiaSC,SC,45.0,SouthCarolina,37.0
18.0,2.0,2.0121218E7,AA,19805.0,AA,N424AA,1588.0,11292.0,1129202.0,30325.0,DEN,DenverCO,CO,8.0,Colorado,82.0
5.0,3.0,2.0121204E7,DL,19790.0,DL,,1772.0,10397.0,1039705.0,30397.0,ATL,AtlantaGA,GA,13.0,Georgia,34.0
27.0,4.0,2.0121228E7,MQ,20398.0,MQ,N905MQ,3446.0,11298.0,1129803.0,30194.0,DFW,Dallas/FortWorthTX,TX,48.0,Texas,74.0
25.0,2.0,2.0121224E7,UA,19977.0,UA,N427UA,,12953.0,1295302.0,31703.0,LGA,NewYorkNY,NY,36.0,NewYork,22.0
9.0,7.0,2.0121208E7,AA,19805.0,AA,N3GPAA,,13303.0,1330303.0,32467.0,MIA,MiamiFL,FL,12.0,Florida,33.0
4.0,2.0,2.0121204E7,WN,19393.0,WN,N346SW,287.0,14869.0,1486903.0,34614.0,SLC,SaltLakeCityUT,UT,49.0,Utah,87.0
15.0,6.0,2.0121216E7,WN,19393.0,WN,N638SW,2072.0,10140.0,1014002.0,30140.0,ABQ,AlbuquerqueNM,NM,35.0,NewMexico,86.0
4.0,2.0,2.0121204E7,UA,19977.0,UA,N494UA,701.0,11278.0,1127802.0,30852.0,DCA,WashingtonDC,VA,51.0,Virginia,38.0
23.0,7.0,2.0121224E7,AS,19930.0,AS,N524AS,39.0,13487.0,1348702.0,31650.0,MSP,MinneapolisMN,MN,27.0,Minnesota,63.0
14.0,5.0,2.0121214E7,OO,20304.0,OO,N943SW,5535.0,13486.0,1348602.0,33486.0,MSO,MissoulaMT,MT,30.0,Montana,84.0
11.0,2.0,2.0121212E7,DL,19790.0,DL,N319NB,1325.0,13495.0,1349502.0,33495.0,MSY,NewOrleansLA,LA,22.0,Louisiana,72.0
28.0,5.0,2.0121228E7,AA,19805.0,AA,N3AFAA,615.0,13930.0,1393002.0,30977.0,ORD,ChicagoIL,IL,17.0,Illinois,41.0
4.0,2.0,2.0121204E7,B6,20409.0,B6,N516JB,332.0,13204.0,1320402.0,31454.0,MCO,OrlandoFL,FL,12.0,Florida,33.0
13.0,4.0,2.0121212E7,DL,19790.0,DL,N693DL,1459.0,14747.0,1474703.0,30559.0,SEA,SeattleWA,WA,53.0,Washington,93.0
8.0,6.0,2.0121208E7,B6,20409.0,B6,N236JB,615.0,12478.0,1247802.0,31703.0,JFK,NewYorkNY,NY,36.0,NewYork,22.0
5.0,3.0,2.0121204E7,US,20355.0,US,N663AW,403.0,14107.0,1410702.0,30466.0,PHX,PhoenixAZ,AZ,4.0,Arizona,81.0
31.0,1.0,2.0121232E7,OO,20304.0,OO,N866AS,2663.0,15376.0,1537602.0,30436.0,TUS,TucsonAZ,AZ,4.0,Arizona,81.0
12.0,3.0,2.0121212E7,UA,19977.0,UA,N805UA,620.0,13930.0,1393002.0,30977.0,ORD,ChicagoIL,IL,17.0,Illinois,41.0
8.0,6.0,2.0121208E7,DL,19790.0,DL,N910DE,465.0,10397.0,1039705.0,30397.0,ATL,AtlantaGA,GA,13.0,Georgia,34.0
22.0,6.0,2.0121222E7,WN,19393.0,WN,N731SA,4501.0,14107.0,1410702.0,30466.0,PHX,PhoenixAZ,AZ,4.0,Arizona,81.0
17.0,1.0,2.0121216E7,OO,20304.0,OO,,5543.0,10713.0,1071302.0,30713.0,BOI,BoiseID,ID,16.0,Idaho,83.0
